HYI ,068.793691;-67.247879,068.581166;-69.746668,067.957058;-74.743113,052.075423;-74.574056,050.091090;-82.064383,001.533367;-81.803864,001.566227;-74.303869,012.332302;-74.318484,012.295277;-75.318437,020.653859;-75.347130,021.206074;-57.848330,033.489233;-57.916074,033.202145;-66.915111,048.362417;-67.035752,
IND ,323.184868;-74.454408,351.997813;-74.312376,351.861339;-66.812511,332.398592;-66.889916,332.113701;-56.390765,331.998817;-49.391111,322.117341;-49.458517,322.042285;-44.958808,307.169292;-45.089965,307.458858;-56.588534,307.564873;-59.588011,322.348654;-59.457623,
LAC ,329.460991;+36.595346,329.376617;+44.345074,329.881609;+44.348217,329.878576;+44.598208,330.762645;+44.603600,330.639208;+53.353220,333.174669;+53.367891,333.137602;+55.617787,335.931287;+55.632568,335.910912;+56.882516,344.303993;+56.917897,344.342802;+53.167966,344.465240;+35.168194,343.709148;+35.165574,343.706482;+35.665569,331.359522;+35.606898,331.350442;+36.606870,
LEO ,162.849548;-00.662215,162.875854;+06.337746,145.398232;+06.432781,140.404064;+06.470082,140.645774;+32.969154,150.084190;+32.902322,150.042144;+27.902448,159.238230;+27.852960,159.210701;+22.853016,162.942366;+22.837644,162.951317;+24.837630,166.680784;+24.825088,166.693830;+28.325073,179.608797;+28.304099,179.604398;+13.304078,179.603602;+10.304073,174.365548;+10.308316,174.350384;-00.691691,174.342154;-06.691695,162.826971;-06.662181,
LMI ,140.645774;+32.969154,140.721408;+39.218861,145.681756;+39.181815,145.709026;+41.431721,154.378024;+41.377416,154.359208;+39.377466,163.523000;+39.335675,163.489239;+33.335730,166.714060;+33.325049,166.693830;+28.325073,166.680784;+24.825088,162.951317;+24.837630,162.942366;+22.837644,159.210701;+22.853016,159.238230;+27.852960,150.042144;+27.902448,150.084190;+32.902322,
LEP ,073.759081;-27.047956,076.254721;-27.077181,092.992341;-27.278789,093.215414;-11.030146,088.965578;-10.978522,077.719823;-10.843216,075.221547;-10.813792,075.178510;-14.313537,073.929586;-14.298956,
LIB ,227.852949;-00.474279,221.603023;-00.526930,221.667036;-08.526687,215.408414;-08.573138,215.513013;-22.572799,215.533602;-25.072732,225.576500;-24.995133,225.630723;-29.994908,236.929932;-29.889639,236.812999;-20.390216,240.571717;-20.351631,240.437216;-08.352322,240.386891;-03.602581,227.881897;-03.724155,
LUP ,214.656762;-55.580021,220.234422;-55.540152,228.083481;-55.475552,228.056697;-54.475669,232.353359;-54.436468,232.207215;-48.437151,237.247247;-48.388063,237.124543;-42.388674,242.152787;-42.336707,241.947666;-29.837783,236.929932;-29.889639,225.630723;-29.994908,225.796246;-42.494218,214.450192;-42.580695,
LYN ,112.560481;+35.244546,112.733870;+44.243566,104.265044;+44.341845,104.406085;+49.841009,099.919190;+49.894589,100.045747;+53.893828,094.057081;+53.966247,094.130798;+55.965799,094.407131;+61.964121,107.851235;+61.803160,107.752888;+59.803735,122.128811;+59.643428,128.798840;+59.576026,128.439851;+46.577762,139.590483;+46.478325,139.512267;+41.478637,145.709026;+41.431721,145.681756;+39.181815,140.721408;+39.218861,140.645774;+32.969154,121.993000;+33.141535,118.257851;+33.181245,118.289477;+35.181075,
LYR ,284.277132;+25.664147,284.269841;+26.164104,276.762858;+26.074363,276.700772;+30.073989,273.824361;+30.039171,273.466876;+47.537005,274.342391;+47.547618,287.120679;+47.699867,288.375553;+47.714393,288.470340;+43.714940,291.983560;+43.755030,292.119652;+36.755800,291.492616;+36.748712,291.598764;+30.249315,290.095234;+30.232197,290.132616;+27.732412,290.161303;+25.732577,
MEN ,109.018459;-85.261464,048.232175;-84.555311,050.091090;-82.064383,052.075423;-74.574056,067.957058;-74.743113,068.581166;-69.746668,098.454020;-70.104127,097.770215;-75.100029,114.214226;-75.289941,111.651257;-82.775908,
MIC ,306.897942;-27.591311,321.831570;-27.459631,321.928013;-36.459253,322.042285;-44.958808,307.169292;-45.089965,
MON ,095.225464;-00.053705,095.347815;+09.945552,096.347453;+09.933452,096.372547;+11.933300,105.742598;+11.821352,105.718246;+09.821495,106.717663;+09.809783,106.664104;+05.310095,106.914057;+05.307175,106.867181;+01.307448,109.616703;+01.275578,109.599449;-00.224323,122.848793;-00.369384,122.733960;-11.368800,111.973184;-11.252143,093.215414;-11.030146,088.965578;-10.978522,089.052163;-03.979050,095.176930;-04.053410,
MUS ,170.084615;-64.684343,169.856725;-75.684099,207.781426;-75.623679,207.460839;-70.624524,207.267970;-65.625030,204.707420;-65.637956,204.680222;-64.638021,194.438279;-64.677043,179.057196;-64.695870,
NOR ,232.549869;-60.435548,249.034748;-60.264493,248.570630;-45.767081,248.494784;-42.267503,242.152787;-42.336707,237.124543;-42.388674,237.247247;-48.388063,232.207215;-48.437151,232.353359;-54.436468,228.056697;-54.475669,228.083481;-55.475552,232.381893;-55.436335,
OCT ,000.801746;-89.303803,001.533367;-81.803864,050.091090;-82.064383,048.232175;-84.555311,109.018459;-85.261464,111.651257;-82.775908,209.111251;-83.120165,276.866607;-82.458278,274.195298;-74.974524,323.184868;-74.454408,351.997813;-74.312376,001.566227;-74.303869,000.801746;-89.303803,000.801746;-89.303803,
